eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
201311240030,2013,11,24,,0,,95,Iraq,10,Middle East & North Africa,Saladin,Shirqat,35.494721,43.097213,1.0,0,,"11/24/2013: An explosive device attached to the vehicle of a Sahwa Council member detonated in Shirqat city, Saladin governorate, Iraq. The Sahwa member was wounded in the blast. No group claimed responsibility for the incident.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,17,Terrorists/Non-State Militia,94.0,Non-State Militia,Sahwa Council,Member,95.0,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,29.0,Sticky Bomb,,,,,,,,,,,,,A sticky bomb was used in the attack.,0.0,0.0,0.0,1.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,The victim's vehicle was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""15 killed, 21 wounded in violent attacks in Iraq,"" Philippines News Agency, November 25, 2013.","""1816 of 2114 DOCUMENTS,"" 1816 of 2114 DOCUMENTS, November 24, 2013.",,START Primary Collection,-9,-9,0,-9,
199411080006,1994,11,8,,0,,78,Greece,8,Western Europe,Central Macedonia,Thessaloniki,40.620663,22.952,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,4,Hijacking,,,,,6,Airports & Aircraft,42.0,Aircraft (not at an airport),,Airline Olympic Airways airliner,78.0,Greece,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,,,0.0,,,0,,,,,1.0,-99.0,0.0,,,Salonika,Salonika,0.0,,,,,,2.0,Hostage(s) released by perpetrators,69.0,,,,,PGIS,-9,-9,0,-9,
201201180012,2012,1,18,,0,,95,Iraq,10,Middle East & North Africa,Diyala,Mandali,33.744999,45.545616,1.0,0,"Two Kurdish Shi'ites were shot to death in Mandali, diyala.","01/18/2012: Gunmen shot and killed two Shia Kurds in Mandali town, Diyala governorate, Iraq. No group claimed responsibility for the incident.",1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,69.0,Religion Identified,Not Applicable,Kurdish Shia Civilians,95.0,Iraq,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Silenced firearms were used in the attack.,2.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""FACTBOX-Security developments in Iraq, January 18,"" Reuters News, January 18, 2012.",,,START Primary Collection,-9,-9,0,-9,
199501130008,1995,1,13,,0,,45,Colombia,3,South America,Tolima,Garitana,3.15,-75.816667,2.0,0,,,1,1,1,0.0,,,0.0,1,0,9,Unknown,,,,,3,Police,25.0,Police Security Forces/Officers,Police,Police Garrison,45.0,Colombia,,,,,,,,,,,,,,,,,Revolutionary Armed Forces of Colombia (FARC),,,,,,,0.0,,,0,100.0,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,2.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
201307210002,2013,7,21,,0,,95,Iraq,10,Middle East & North Africa,Saladin,Taji,33.540672,44.251266,1.0,0,,"07/21/2013: Assailants attacked the Taji prison in Taji town, Saladin governorate, Iraq. The attack, which lasted through the night, employed suicide bombers and explosives-laden vehicles, as well as mortar rounds and rocket-propelled grenades. At least 22 people, including three assailants, were killed and an unknown number of people were wounded. This was one of two prisons attacked in Iraq on this day. Islamic State of Iraq and the Levant (ISIL) claimed responsibility for these incidents.",1,1,1,0.0,,,1.0,1,1,3,Bombing/Explosion,,,,,3,Police,26.0,Prison/Jail,Iraqi Prison Service,Taji Prison,95.0,Iraq,,,,,,,,,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,,,,"The specific motive is unknown; however, Iraqi security officials speculated that Islamic State of Iraq and the Levant (ISIL) carried out the attack in order to free its imprisoned members. Moreover, sources noted that, one year prior to the incident, Islamic State of Iraq and the Levant (ISIL) announced a plan to target Iraq's justice system and free ""Muslim prisoners everywhere.""",0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,6,Explosives,15.0,Vehicle,6.0,Explosives,13.0,Suicide (carried bodily by human being),6.0,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,"Car bombs, suicide bombers, mortars, rocket-propelled grenades, roadside bombs, and assault rifles were used in the attack.",22.0,0.0,3.0,,0.0,,1,3.0,Minor (likely < $1 million),-99.0,A prison was damaged in this attack.,0.0,,,,,,,,,,,,,,,,The count of weapons represents an equal split between attacks 201307210001 and 201307210002.,"""Manhunt under way after Iraq prison attacks,"" Al Jazeera, July 22, 2013.","""At least 500 escape in deadly assaults on Iraq prisons,"" Agence France Presse -- English, July 22, 2013.","""Attacks on Iraq prisons kill dozens,"" BBC, July 22, 2013.",START Primary Collection,0,1,0,1,"201307210001, 201307210002"
200711050027,2007,11,5,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,Gaza Strip,Gaza,31.502407,34.459743,1.0,0,,"11/05/2007: A fast food restaurant was bombed in Gaza, Palestine. Casualties were not reported. No group claimed responsibility for the attack.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,2.0,Restaurant/Bar/Café,Unknown,Fast Food Restaurant,155.0,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0.0,,,0,,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,Unknown,,,0.0,,,,,,,,,,,,,,,,,"""Bomb Rocks Gaza Café,"" Ma'an News Agency, November 9, 2007.",,,CETIS,-9,-9,0,-9,
199101070005,1991,1,7,,0,,45,Colombia,3,South America,Guaviare,San Jose del Guaviare,2.56426,-72.637985,1.0,0,,,1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,25.0,Police Security Forces/Officers,Police,Unit,45.0,Colombia,,,,,,,,,,,,,,,,,Revolutionary Armed Forces of Colombia (FARC),,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,1.0,,,4.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
199612090018,1996,12,9,,0,,183,South Africa,11,Sub-Saharan Africa,KwaZulu-Natal,Dalton,-29.340513,30.630557,1.0,1,,,1,1,1,-9.0,,,1.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,76.0,House/Apartment/Residence,,Homesteads (19),183.0,South Africa,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,Arson,0.0,,,0.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,"199612090018, 199612090002, 199612090003, 199612090004, 199612090005, 199612090006, 199612090007, 199612090008, 199612090009, 1996120900010, 199612090011, 199612090012, 199612090013, 199612090014, 199612090015, 199612090016, 199612090017, 199612090019, 199612090020"
198505090008,1985,5,9,,0,,45,Colombia,3,South America,Bogota,Bogota,4.667128,-74.106056,1.0,0,,,1,1,1,0.0,,,1.0,1,0,3,Bombing/Explosion,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",,Police Station,45.0,Colombia,,,,,,,,,,,,,,,,,Ricardo Franco Front (Dissident FARC),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,1.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,"198505090005, 198505090006, 198505090007, 198505090008, 198505090009, 198505090010, 198505090011"
198101010007,1981,1,1,,0,,61,El Salvador,2,Central America & Caribbean,,Zacamil,13.898333,-89.196944,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,22.0,"Police Building (headquarters, station, school)",,Police Detachment,61.0,El Salvador,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,0.0,,,2.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
201607200036,2016,7,20,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Duma,32.059555,35.367733,1.0,0,,"07/20/2016: Assailants threw a Molotov cocktail at a Palestinian house in Duma, West Bank. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Israeli settlers.",1,1,1,0.0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,14,Private Citizens & Property,76.0,House/Apartment/Residence,Not Applicable,House,155.0,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Israeli settlers,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,8,Incendiary,19.0,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A Molotov cocktail was used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A house was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Israeli settlers suspected in arson attack in West Bank village,"" Deutsche Presse-Agentur, July 20, 2016.","""Palestinian Official Suspects Settlers Behind Second Duma Arson Attack; No Injuries Reported,"" Ma'an News Agency, July 20, 2016.","""Another arson in town where family was burned to death last year,"" International Middle East Media Center, July 20, 2016.",START Primary Collection,1,0,0,1,
201607050041,2016,7,5,,0,,205,Thailand,5,Southeast Asia,Narathiwat,Sungai Kolok district,6.029762,101.966099,3.0,0,,"07/05/2016: Assailants shot and killed a Buddhist woman in Sungai Kolok district, Narathiwat, Thailand. An unknown group claimed responsibility and stated that the attack was carried out in retaliation for a recent attack on a mosque.",1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,69.0,Religion Identified,Not Applicable,Buddhist Civilian: Waewta Charntae,205.0,Thailand,,,,,,,,,,,,,,,,,Unknown,,,,,,An unknown group claimed responsibility for the incident and stated that the attack was carried out in retaliation for a recent attack on a mosque.,0.0,,,0,-99.0,0.0,1.0,5.0,Note left at scene,,,,,,,,5,Firearms,3.0,Handgun,,,,,,,,,,,,,A pistol was used in the attack.,1.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,A motorcycle was damaged in this attack.,0.0,,,,,,,,,,,,,,,,,"""Buddhist woman killed in Narathiwat,"" The Nation - Thailand, July 5, 2016.","""Woman slain in Narathiwat 'reprisal',"" Bangkok Post, July 5, 2016.",,START Primary Collection,-9,-9,0,-9,
200201150007,2002,1,15,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Givat Ze'ev,31.863092,35.171032,1.0,0,"A gas station at Givat Ze'ev, on Road No 443 that leads to Jerusalem","1/15/2002: Two gunmen attacked two Israeli women in the vicinity of a gas station in Givat Ze'ev, West Bank, West Bank and Gaza Strip.  The assailants shot both women, killing one and wounding the other.  No group has claimed responsibility for the attack; however, authorities suspect that Popular Front for the Liberation of Palestine (PFLP) was involved in the incident.",1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,68.0,Named Civilian,Civilians,"Two women, including Yoela Chen, driving in the vicinity of Givat Ze'ev",155.0,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,Popular Front for the Liberation of Palestine (PFLP),,,,,,Unknown,1.0,,,0,2.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,"The two victims were related, although one source states they were mother and daughter while a second source states they were niece and aunt.","""Palestinian Security Forces Arrest PFLP Chief,"" Xinhua General News Service, January 15, 2002.","""Israel: Woman reportedly killed - mother wounded near Jerusalem,"" Channel 2 TV, January 15, 2002.","""Israeli killings spark fear,"" The Age, January 17, 2002.",UMD Schmid 2012,0,0,0,0,
199005090003,1990,5,9,,0,,209,Turkey,10,Middle East & North Africa,Igdir,Suveren,39.804165,44.060278,1.0,1,,,1,1,1,-9.0,,,0.0,1,0,7,Facility/Infrastructure Attack,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,railway,Tatvan-Elazig Freight Train,209.0,Turkey,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,,,1.0,,,1,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
201406150016,2014,6,15,,0,,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,The incident occurred in the Waberi district.,"06/15/2014: Assailants opened fire on Hassan Mohamed in Waberi district, Mogadishu city, Banaadir region, Somalia. Mohamed, a district judge, was killed in the attack. No group claimed responsibility for the incident; however, sources suspect that Al-Shabaab was involved.",1,1,1,0.0,,,0.0,1,0,1,Assassination,,,,,2,Government (General),14.0,Judge/Attorney/Court,Government of Wardhigley,District Judge: Hassan Mohamed,182.0,Somalia,,,,,,,,,,,,,,,,,Al-Shabaab,,,,,,,1.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""SOCAFRICA: Al-Shabaab (AS) Incident Tracker: 12  18 June 2014,"" SOCAFRICA, June 12, 2014.",,,START Primary Collection,0,0,0,0,
